Chain,DeFi Application,Transaction Hash
ETH,Synthetix,0x0be611ef0a3dea53461e8fde445fb48175a30736cf5a1de175060b35535f4507
ETH,WBTC,0x977430de31f7fab29430eebf1e77d10a0609d56d91eaadd76b387170e0ba3d2f
ETH,Erasure,0x08d0d432fa097b7fa0584255a197f9dec18cfbbf205a04742c28a7169e162b20
BSC,BabyDogeSwap,0x6010cf29212810d95f4dc537189e78d4f4feb731f37c2b43ed8aed4840036b31
ETH,Uniswap V3,0xfad81c0648c9eb4cb72b74108651a5b2617cffb5ce18de177b38c8305706b02f
ETH,WBTC,0xe53dcf5a1b442dd79683af3e06a4b2346cdd43eabe75c946e1f837bff055191f
BSC,BiSwap,0x13ac687195b58a3c129d3d41d00aaa2dde35918d6d403bc85310e1467e6fad13
BSC,BiSwap,0xf1a39eee6e1bd876136f5bde9e06b8bbd4e9cf893b643d5b57af52f346287387
ETH,DODO,0x637afa4f8a65bda2cc48c6955c437c9ab669f5669286d4d148ddabedc353f95b
ETH,WBTC,0x873aae385498267e79ea4774db78339bbf0810bd7801a017d37ef0277221e4e0
ETH,AAVE V2,0x0ffaf61841173aa63400087b7d41b5432f74a2f1b911dfe6320cfc0d08cb41ff
ETH,ShibaSwap,0x924f4bbb34e5bbeb228d5755d431a4f37452da036f413c84efe8e923b5f60018
ETH,AAVE V2,0xfe8a73e9394f40685794b91e26495a460acf190c2d7a0b6c31d8c8134c2b6772
BSC,TaiChi,0x2bca50ec1a5470b588cb0e067adf2d0486dde97394043b349d7b99bd811a85ec
ETH,Synthetix,0x4adbdfbfed02586aa9528aeaf9bfecb7295a510bf79477968ec1ed654570e9fa
ETH,Aura,0x8e59287bce6d96fa5951d60415a8105cfae4005d04ca86fca5cb388c52189512
ETH,Gnosis Protocol v1,0x85071159c0f19af985faaaab11a7cc2f91016ebf19b747e364d853e40ca5c5b6
ETH,WBTC,0x4a118f4dc3d46ed275b1f404344e1ab4823958be1214bd0d9d0f5d42b3b9f793
ETH,Uniswap V3,0x9632f1673a9f67c0f856af68d3a8140e9ae0ba70076a9ed54180c26d45a7cccf
ETH,AAVE V2,0x76d0362149bf8f91b2ba3ed66e061dd20d9a50eacbbd517956eb5b6138e0d45b
BSC,Wolf Safe Poor People,0xab61ff64cf213d81beec9294430339f5ac092e12dbe5ebc5e77a4f211944f558
ETH,Loopring,0x4461c0c5389e65af4711368e6ff353609fa5b03da03387fc6d771da75e7ec4b4
ETH,Synthetix,0xf15c88ac9e67e987e41abe1097f454eda91ffde13bb43735df62bd3e45b1db6d
ETH,WBTC,0x397edd2dd53697b49d5bcabbc989a1605c29b2abcc6364c6e78e558e635b7af3
ETH,Hex,0x279fa5e02c7d957d609630121b4dc7fcc5929731d9f10a73ca74dff4952bfbe3
ETH,pStake,0x8b3c450363cd1032adc8df46041bfd4f0898bb914db2ec77d7af4c19ef9b044e
BSC,BabyDogeSwap,0xd2311920995143efaad9f4614573e7d7f8f9fde76936a8dd0ed50ac95f837f74
ETH,Liquity,0xebd54db4bb089da9339e6b4ab4b261615a68ee4f8b27d1bb42f421b64550b548
BSC,Kalmy App,0xd67d5fbb449bd15ddf199acb5c05f17b5211bf2bea879933f7b2590dff466155
